"","LONGITUDE","LATITUDE","value_mean","country"
"54",-99.2542,19.577,37.2640618762474,"MX"
"55",-98.912,19.6355,29.8843250301331,"MX"
"56",-99.1986,19.7221,35.2714247263599,"MX"
"57",120.41175,22.4795,29.149624269955,"TW"
"58",120.561175,22.523108,22.3051655104065,"TW"
"59",120.425311,22.564136,35.0134088693965,"TW"
"60",120.337736,22.565833,46.7621080013177,"TW"
"61",88.363895,22.572646,49.6221304828607,"IN"
"62",120.307564,22.605386,39.9972923749402,"TW"
"63",120.312017,22.608711,44.8077293447296,"TW"
"64",120.358083,22.627392,40.0743548751015,"TW"
"65",88.3804,22.627875,38.6051064614252,"IN"
"66",120.288086,22.632567,31.4726482290155,"TW"
"67",120.488033,22.673081,28.9815893504787,"TW"
"68",120.292917,22.674861,34.2432808652253,"TW"
"69",120.332631,22.689056,35.424121036537,"TW"
"70",120.328289,22.733667,31.2350851307195,"TW"
"71",120.305689,22.757506,30.446006738329,"TW"
"72",120.530542,22.883583,16.4734689339439,"TW"
"73",120.202617,22.984581,27.5850162206,"TW"
"74",120.218333,23.048333,25.8326492452529,"TW"
"75",120.297142,23.115097,23.7461568658873,"TW"
"76",120.31725,23.305633,27.3949655227205,"TW"
"77",120.440833,23.462778,30.5845562375585,"TW"
"78",120.345531,23.554839,20.2888619641718,"TW"
"79",120.544994,23.711853,27.9343020231219,"TW"
"80",120.677306,23.756389,25.0464563059402,"TW"
"81",120.685306,23.913,32.3632556945787,"TW"
"82",120.409653,23.925175,20.909858167331,"TW"
"83",120.541519,24.066,28.5377917270244,"TW"
"84",120.677689,24.099611,36.3300569013176,"TW"
"85",120.469061,24.131672,24.6374667431196,"TW"
"86",120.641092,24.151958,33.072109209454,"TW"
"87",120.616917,24.162197,29.5954146694553,"TW"
"88",120.568794,24.225628,26.9629815379679,"TW"
"89",120.741711,24.256586,20.304866893645,"TW"
"90",120.758833,24.382942,16.5486248990797,"TW"
"91",120.8202,24.565269,23.5336700988467,"TW"
"92",120.898572,24.696969,25.6001002874485,"TW"
"93",121.088903,24.740644,18.2229712241914,"TW"
"94",121.746394,24.747917,12.6124647096567,"TW"
"95",120.972075,24.805619,27.9048051990256,"TW"
"96",121.21635,24.863869,24.6706591567431,"TW"
"97",121.038653,24.900142,20.5294526264117,"TW"
"98",121.203986,24.952786,31.7307312678907,"TW"
"99",121.221667,24.953278,52.7368867741938,"TW"
"100",121.537778,24.977222,27.8399081993573,"TW"
"101",121.451861,24.982528,32.2606248335559,"TW"
"102",121.319964,24.994789,32.9751771437788,"TW"
"103",121.458667,25.012972,40.1825478991606,"TW"
"104",121.516306,25.017,38.9103235536516,"TW"
"105",121.529556,25.020608,32.5180400972054,"TW"
"106",121.4325,25.037972,35.702547111972,"TW"
"107",121.507972,25.046503,46.5491372481494,"TW"
"108",121.578611,25.05,39.0749616125929,"TW"
"109",121.201811,25.060344,30.0539565288719,"TW"
"110",121.526528,25.062361,47.5265096742989,"TW"
"111",121.513311,25.0632,60.1045616772304,"TW"
"112",121.6408,25.065669,33.6698654190404,"TW"
"113",121.481028,25.06895,58.4628027917539,"TW"
"114",121.493806,25.072611,63.7465224123882,"TW"
"115",121.365703,25.07857,25.8992748152911,"TW"
"116",121.515389,25.105417,19.5505878975264,"TW"
"117",121.760056,25.129167,20.520891160844,"TW"
"118",121.449239,25.1645,18.597077582027,"TW"
"119",121.689881,25.179667,10.4543794440853,"TW"
"120",-80.162201,25.7325,9.91694581280783,"US"
"121",-80.210278,25.798333,17.1312307692308,"US"
"122",-80.1114,26.0864,16.0309746529877,"US"
"123",-80.167847,26.131256,27.8689101300755,"US"
"124",-80.058917,26.593808,9.54211612548152,"US"
"125",-82.4797,27.3503,4.76568797399787,"US"
"126",-82.74,27.7858,8.4432341392851,"US"
"127",-82.665251,27.834409,15.574672559261,"US"
"128",-82.5383,27.8928,8.20262210012213,"US"
"129",77.0263051,28.4501285,20.428296037066,"IN"
"130",77.1744,28.5648,68.8240973840975,"IN"
"131",77.05,28.591,34.166697468863,"IN"
"132",-81.3628,28.5997,7.72484054669714,"US"
"133",77.2005,28.6341,51.7221181011193,"IN"
